Text,Text Size,Pattern,Pattern Size,Algorithm,Matches,Time (Fastest),Time (Average),,
text1,39,Text1,5,Naive Brute Force,0,0.00000723,0.00001092,,
text1,39,Text2,5494,Naive Brute Force,0,0.00000027,0.00000051,,
newsarticle,7602,Text1,5,Naive Brute Force,0,0.00145868,0.00174685,,
newsarticle,7602,Text2,5494,Naive Brute Force,0,0.00043416,0.00047439,,
DNAReallySmall,29903,DNA1,5,Naive Brute Force,0,0.00613201,0.00636123,,
DNAReallySmall,29903,DNA2,4000,Naive Brute Force,0,0.00616430,0.00676701,,
rotp,2426922,Text1,5,Naive Brute Force,0,0.48631219,0.59284362,,
rotp,2426922,Text2,5494,Naive Brute Force,0,0.50987097,0.63819118,,
jtw,4018714,Text1,5,Naive Brute Force,1,0.78585824,0.91754933,,
jtw,4018714,Text2,5494,Naive Brute Force,0,0.85084501,0.9821935,,
Harry_Potter,5991294,Text1,5,Naive Brute Force,33,1.18901839,1.43057155,,
Harry_Potter,5991294,Text2,5494,Naive Brute Force,0,1.27970703,1.53541515,,
combined_text,15651504,Text1,5,Naive Brute Force,34,3.10104098,3.68907985,,
combined_text,15651504,Text2,5494,Naive Brute Force,1,3.36003880,4.06989671,,
DNASmall,48556462,DNA1,5,Naive Brute Force,33496,11.30480182,12.61765627,,
DNASmall,48556462,DNA2,4000,Naive Brute Force,1,14.12404451,14.23784195,,
DNABig,912728646,DNA1,5,Naive Brute Force,332743,210.51621801,210.51621801,,
DNABig,912728646,DNA2,4000,Naive Brute Force,0,247.74100090,247.74100090,New Time (Fastest),New Time (Average)
text1,39,Text1,5,Rabin Karp,0,0.00001094,0.00001549,0.00001175,0.00001926
text1,39,Text2,5494,Rabin Karp,0,0.00000120,0.00000150,0.00000180,0.00000210
newsarticle,7602,Text1,5,Rabin Karp,0,0.00242346,0.00256787,0.00163830,0.00173537
newsarticle,7602,Text2,5494,Rabin Karp,0,0.00189835,0.00216990,0.00135454,0.00140731
DNAReallySmall,29903,DNA1,5,Rabin Karp,8,0.00867069,0.00921088,0.00470175,0.00491943
DNAReallySmall,29903,DNA2,4000,Rabin Karp,0,0.00762109,0.00835979,0.00609344,0.00647313
rotp,2426922,Text1,5,Rabin Karp,0,0.90536358,1.02202535,0.53454457,0.63636557
rotp,2426922,Text2,5494,Rabin Karp,0,0.87453119,1.12568061,0.53180999,0.54622493
jtw,4018714,Text1,5,Rabin Karp,1,1.37696657,1.61778996,0.88857985,0.99859915
jtw,4018714,Text2,5494,Rabin Karp,0,1.34377920,1.56464217,0.90009411,1.00526461
Harry_Potter,5991294,Text1,5,Rabin Karp,33,1.97254453,2.40006830,1.37030554,1.48191238
Harry_Potter,5991294,Text2,5494,Rabin Karp,0,2.01155095,2.35709869,1.32727671,1.43498921
combined_text,15651504,Text1,5,Rabin Karp,34,5.39220008,6.12280613,3.52092120,3.75967642
combined_text,15651504,Text2,5494,Rabin Karp,1,5.46699569,6.49173264,3.53902413,3.97267742
DNASmall,48556462,DNA1,5,Rabin Karp,33496,15.79981235,16.29755285,8.09318331,8.67946211
DNASmall,48556462,DNA2,4000,Rabin Karp,1,15.75809058,16.32684026,11.6505928,11.73922721
DNABig,912728646,DNA1,5,Rabin Karp,332743,388.942727,388.942727,166.4592927,166.4592927
DNABig,912728646,DNA2,4000,Rabin Karp,0,386.1203843,386.1203843,,
text1,39,Text1,5,DFA,0,0.00153304,0.00264513,,
text1,39,Text2,5494,DFA,0,0.01027194,0.00290606,,
newsarticle,7602,Text1,5,DFA,0,0.00266417,0.00378428,,
newsarticle,7602,Text2,5494,DFA,0,0.01133247,0.00384674,,
DNAReallySmall,29903,DNA1,5,DFA,8,0.00776066,0.00888376,,
DNAReallySmall,29903,DNA2,4000,DFA,0,0.01045064,0.00957403,,
rotp,2426922,Text1,5,DFA,0,0.33228417,0.34336948,,
rotp,2426922,Text2,5494,DFA,0,0.32820821,0.44741786,,
jtw,4018714,Text1,5,DFA,1,0.57067517,0.69875374,,
jtw,4018714,Text2,5494,DFA,0,0.56190337,0.68363756,,
Harry_Potter,5991294,Text1,5,DFA,33,0.81413479,0.94499133,,
Harry_Potter,5991294,Text2,5494,DFA,0,0.78645781,1.02203375,,
combined_text,15651504,Text1,5,DFA,34,2.17732371,2.5741275,,
combined_text,15651504,Text2,5494,DFA,0,2.08808845,2.53908247,,
DNASmall,48556462,DNA1,5,DFA,39319,7.96915614,9.50101743,,
DNASmall,48556462,DNA2,4000,DFA,1,8.18302997,9.65710494,,
DNABig,912728646,DNA1,5,DFA,539337,184.292779,184.292779,,
DNABig,912728646,DNA2,4000,DFA,0,199.0214234,199.0214234,,
text1,39,Text1,5,Knuth Morris Pratt,0,0.00000432,0.00000715,,
text1,39,Text2,5494,Knuth Morris Pratt,0,0.00072928,0.00061408,,
newsarticle,7602,Text1,5,Knuth Morris Pratt,0,0.00077105,0.00081952,,
newsarticle,7602,Text2,5494,Knuth Morris Pratt,0,0.00129773,0.00134374,,
DNAReallySmall,29903,DNA1,5,Knuth Morris Pratt,8,0.00373164,0.00373228,,
DNAReallySmall,29903,DNA2,4000,Knuth Morris Pratt,0,0.00460875,0.00509963,,
rotp,2426922,Text1,5,Knuth Morris Pratt,0,0.24343762,0.25529692,,
rotp,2426922,Text2,5494,Knuth Morris Pratt,0,0.25733254,0.35465892,,
jtw,4018714,Text1,5,Knuth Morris Pratt,1,0.41160451,0.51484724,,
jtw,4018714,Text2,5494,Knuth Morris Pratt,0,0.40244607,0.52158402,,
Harry_Potter,5991294,Text1,5,Knuth Morris Pratt,33,0.62223343,0.74695328,,
Harry_Potter,5991294,Text2,5494,Knuth Morris Pratt,0,0.59714375,0.7104382,,
combined_text,15651504,Text1,5,Knuth Morris Pratt,34,1.94090453,1.91570144,,
combined_text,15651504,Text2,5494,Knuth Morris Pratt,1,1.58666395,1.90593588,,
DNASmall,48556462,DNA1,5,Knuth Morris Pratt,33496,6.34687408,7.39446951,,
DNASmall,48556462,DNA2,4000,Knuth Morris Pratt,1,6.61491385,6.97261491,,
DNABig,912728646,DNA1,5,Knuth Morris Pratt,332743,125.9471116,125.9471116,,
DNABig,912728646,DNA2,4000,Knuth Morris Pratt,0,129.0564437,129.0564437,,
