Text,Text Size,Pattern,Pattern Size,Algorithm,Matches,Time (Fastest),Time (Average)
text1,39,Text1,5,Naive Brute Force,0,0.00000723,0.00001092
text1,39,Text2,5494,Naive Brute Force,0,0.00000027,0.00000051
newsarticle,7602,Text1,5,Naive Brute Force,0,0.00145868,0.00174685
newsarticle,7602,Text2,5494,Naive Brute Force,0,0.00043416,0.00047439
DNAReallySmall,29903,DNA1,5,Naive Brute Force,0,0.00613201,0.00636123
DNAReallySmall,29903,DNA2,4000,Naive Brute Force,0,0.00616430,0.00676701
rotp,2426922,Text1,5,Naive Brute Force,0,0.48631219,0.59284362
rotp,2426922,Text2,5494,Naive Brute Force,0,0.50987097,0.63819118
jtw,4018714,Text1,5,Naive Brute Force,1,0.78585824,0.91754933
jtw,4018714,Text2,5494,Naive Brute Force,0,0.85084501,0.9821935
Harry_Potter,5991294,Text1,5,Naive Brute Force,33,1.18901839,1.43057155
Harry_Potter,5991294,Text2,5494,Naive Brute Force,0,1.27970703,1.53541515
combined_text,15651504,Text1,5,Naive Brute Force,34,3.10104098,3.68907985
combined_text,15651504,Text2,5494,Naive Brute Force,1,3.36003880,4.06989671
DNASmall,48556462,DNA1,5,Naive Brute Force,33496,11.30480182,12.61765627
DNASmall,48556462,DNA2,4000,Naive Brute Force,1,14.12404451,14.23784195
DNABig,912728646,DNA1,5,Naive Brute Force,332743,210.51621801,210.51621801
DNABig,912728646,DNA2,4000,Naive Brute Force,0,247.74100090,247.74100090
text1,39,Text1,5,Rabin Karp,0,0.00001238,0.00001982
text1,39,Text2,5494,Rabin Karp,0,0.00000120,0.00000150
newsarticle,7602,Text1,5,Rabin Karp,0,0.00289253,0.00427180
newsarticle,7602,Text2,5494,Rabin Karp,0,0.00232827,0.00278305
DNAReallySmall,29903,DNA1,5,Rabin Karp,8,0.01073130,0.01127144
DNAReallySmall,29903,DNA2,4000,Rabin Karp,0,0.01014304,0.01086448
rotp,2426922,Text1,5,Rabin Karp,0,0.90536358,1.02202535
rotp,2426922,Text2,5494,Rabin Karp,0,0.87453119,1.12568061
jtw,4018714,Text1,5,Rabin Karp,1,1.50187892,1.73749037
jtw,4018714,Text2,5494,Rabin Karp,0,1.50208723,1.85104101
Harry_Potter,5991294,Text1,5,Rabin Karp,33,2.23206383,2.57513986
Harry_Potter,5991294,Text2,5494,Rabin Karp,0,2.23837247,2.68850096
combined_text,15651504,Text1,5,Rabin Karp,34,5.91838243,7.05176762
combined_text,15651504,Text2,5494,Rabin Karp,1,5.93977021,7.00785426
DNASmall,48556462,DNA1,5,Rabin Karp,33496,20.36335176,21.46470218
DNASmall,48556462,DNA2,4000,Rabin Karp,1,20.27674949,21.44411848
DNABig,912728646,DNA1,5,Rabin Karp,332743,388.942727,388.942727
DNABig,912728646,DNA2,4000,Rabin Karp,0,386.1203843,386.1203843
text1,39,Text1,5,DFA,0,0.00153304,0.00264513
text1,39,Text2,5494,DFA,0,0.01027194,0.00290606
newsarticle,7602,Text1,5,DFA,0,0.00266417,0.00378428
newsarticle,7602,Text2,5494,DFA,0,0.01133247,0.00384674
DNAReallySmall,29903,DNA1,5,DFA,8,0.00776066,0.00888376
DNAReallySmall,29903,DNA2,4000,DFA,0,0.01045064,0.00957403
rotp,2426922,Text1,5,DFA,0,0.33228417,0.34336948
rotp,2426922,Text2,5494,DFA,0,0.32820821,0.44741786
jtw,4018714,Text1,5,DFA,1,0.57067517,0.69875374
jtw,4018714,Text2,5494,DFA,0,0.56190337,0.68363756
Harry_Potter,5991294,Text1,5,DFA,33,0.81413479,0.94499133
Harry_Potter,5991294,Text2,5494,DFA,0,0.78645781,1.02203375
combined_text,15651504,Text1,5,DFA,34,2.17732371,2.5741275
combined_text,15651504,Text2,5494,DFA,0,2.08808845,2.53908247
DNASmall,48556462,DNA1,5,DFA,39319,7.96915614,9.50101743
DNASmall,48556462,DNA2,4000,DFA,1,8.18302997,9.65710494
DNABig,912728646,DNA1,5,DFA,539337,184.292779,184.292779
DNABig,912728646,DNA2,4000,DFA,0,199.0214234,199.0214234
text1,39,Text1,5,Knuth Morris Pratt,0,0.00000432,0.00000715
text1,39,Text2,5494,Knuth Morris Pratt,0,0.00072928,0.00061408
newsarticle,7602,Text1,5,Knuth Morris Pratt,0,0.00077105,0.00081952
newsarticle,7602,Text2,5494,Knuth Morris Pratt,0,0.00129773,0.00134374
DNAReallySmall,29903,DNA1,5,Knuth Morris Pratt,8,0.00373164,0.00373228
DNAReallySmall,29903,DNA2,4000,Knuth Morris Pratt,0,0.00460875,0.00509963
rotp,2426922,Text1,5,Knuth Morris Pratt,0,0.24343762,0.25529692
rotp,2426922,Text2,5494,Knuth Morris Pratt,0,0.25733254,0.35465892
jtw,4018714,Text1,5,Knuth Morris Pratt,1,0.41160451,0.51484724
jtw,4018714,Text2,5494,Knuth Morris Pratt,0,0.40244607,0.52158402
Harry_Potter,5991294,Text1,5,Knuth Morris Pratt,33,0.62223343,0.74695328
Harry_Potter,5991294,Text2,5494,Knuth Morris Pratt,0,0.59714375,0.7104382
combined_text,15651504,Text1,5,Knuth Morris Pratt,34,1.94090453,1.91570144
combined_text,15651504,Text2,5494,Knuth Morris Pratt,1,1.58666395,1.90593588
DNASmall,48556462,DNA1,5,Knuth Morris Pratt,33496,6.34687408,7.39446951
DNASmall,48556462,DNA2,4000,Knuth Morris Pratt,1,6.61491385,6.97261491
DNABig,912728646,DNA1,5,Knuth Morris Pratt,332743,125.9471116,125.9471116
DNABig,912728646,DNA2,4000,Knuth Morris Pratt,0,129.0564437,129.0564437
